id,currentBarWidth,splitOnRecType,stimulusTag,currentMeanLevel,currentAbsContrast,splitOnExperimentDate,celllabel,splitOnDelTag,backgroundIntensity,MeanRespOn,SEM,nodeid,leafid
134,46.6666666666667,"exc","grating",0.4,0.1,"2017/01/12","Cell","keep",0.2,-349.957228600253,0,2,134
135,46.6666666666667,"inh","grating",0.4,0.1,"2017/01/12","Cell","keep",0.2,-14.7036750339374,0,2,135
136,46.6666666666667,"cell-attach","intensity",0.4,0.1,"2017/01/12","Cell","keep",0.2,16.4694911018516,18.510518893151,2,136
137,46.6666666666667,"exc","intensity",0.4,0.1,"2017/01/12","Cell","keep",0.2,-357.32599802301,0,2,137
138,46.6666666666667,"inh","intensity",0.4,0.1,"2017/01/12","Cell","keep",0.2,-25.6499859494465,0,2,138
139,46.6666666666667,"cell-attach","grating",0.5,0.1,"2017/01/12","Cell","keep",0.2,33.6155225382019,31.3519937036768,2,139
140,46.6666666666667,"exc","grating",0.5,0.1,"2017/01/12","Cell","keep",0.2,-584.971687835104,0,2,140
141,46.6666666666667,"inh","grating",0.5,0.1,"2017/01/12","Cell","keep",0.2,14.1303605963272,0,2,141
142,46.6666666666667,"cell-attach","intensity",0.5,0.1,"2017/01/12","Cell","keep",0.2,50.0721399052184,49.8778850822892,2,142
143,46.6666666666667,"exc","intensity",0.5,0.1,"2017/01/12","Cell","keep",0.2,-599.878316710555,0,2,143
144,46.6666666666667,"inh","intensity",0.5,0.1,"2017/01/12","Cell","keep",0.2,-62.3674454166596,0,2,144
145,73.3333333333333,"cell-attach","grating",0.25,0.1,"2017/01/12","Cell","keep",0.2,2.62266093076296,2.37234156798767,2,145
146,73.3333333333333,"exc","grating",0.25,0.1,"2017/01/12","Cell","keep",0.2,-44.8274015597713,0,2,146
147,73.3333333333333,"inh","grating",0.25,0.1,"2017/01/12","Cell","keep",0.2,-79.023251818379,0,2,147
148,73.3333333333333,"cell-attach","intensity",0.25,0.1,"2017/01/12","Cell","keep",0.2,0.342297390859628,0.344796141484316,2,148
149,73.3333333333333,"exc","intensity",0.25,0.1,"2017/01/12","Cell","keep",0.2,-7.69407538932688,0,2,149
