id,splitOnRecType,splitOnPatchLocation,stimulusTag,splitOnExperimentDate,imageName,imagePatchIndex,celllabel,splitOnDelTag,currentPatchLocation_1,currentPatchLocation_2,equivalentIntensity,backgroundIntensity,MeanRespOn,SEM,nodeid,leafid
53,"exc","1289   789","intensity","2016/08/10","00152",9,"Cell 2 - on parasol","keep",1289,789,0.261200174272828,0.199407172495471,-210.525516770322,21.734879088106,2,53
54,"inh","1289   789","intensity","2016/08/10","00152",9,"Cell 2 - on parasol","keep",1289,789,0.261200174272828,0.199407172495471,-20.7165513849119,95.6258493469086,2,54
55,"cell-attach","672  738","image","2016/08/10","00152",10,"Cell 2 - on parasol","keep",672,738,0.222704524479047,0.199407172495471,1.10331275959471,0.961793246330669,2,55
56,"exc","672  738","image","2016/08/10","00152",10,"Cell 2 - on parasol","keep",672,738,0.222704524479047,0.199407172495471,-73.5747495159104,17.9870600167748,2,56
57,"inh","672  738","image","2016/08/10","00152",10,"Cell 2 - on parasol","keep",672,738,0.222704524479047,0.199407172495471,1262.28096449967,138.540857046229,2,57
58,"cell-attach","672  738","intensity","2016/08/10","00152",10,"Cell 2 - on parasol","keep",672,738,0.222704524479047,0.199407172495471,3.35194758101216,1.74048324996894,2,58
59,"exc","672  738","intensity","2016/08/10","00152",10,"Cell 2 - on parasol","keep",672,738,0.222704524479047,0.199407172495471,-57.4721686771842,13.5584159598534,2,59
60,"inh","672  738","intensity","2016/08/10","00152",10,"Cell 2 - on parasol","keep",672,738,0.222704524479047,0.199407172495471,-295.504564323304,173.217561046437,2,60
61,"cell-attach","357  359","image","2016/08/10","00152",11,"Cell 2 - on parasol","keep",357,359,0.252990729825726,0.199407172495471,3.42375989352148,5.26552594150761,2,61
62,"exc","357  359","image","2016/08/10","00152",11,"Cell 2 - on parasol","keep",357,359,0.252990729825726,0.199407172495471,-169.927932121572,16.1327365299252,2,62
63,"inh","357  359","image","2016/08/10","00152",11,"Cell 2 - on parasol","keep",357,359,0.252990729825726,0.199407172495471,-20.8727624798298,55.0069993140997,2,63
64,"cell-attach","357  359","intensity","2016/08/10","00152",11,"Cell 2 - on parasol","keep",357,359,0.252990729825726,0.199407172495471,5.37183648495006,4.93875447203254,2,64
65,"exc","357  359","intensity","2016/08/10","00152",11,"Cell 2 - on parasol","keep",357,359,0.252990729825726,0.199407172495471,-136.519985758917,15.2282544117432,2,65
