id,splitOnRecType,splitOnExperimentDate,celllabel,currentSpotContrast,splitOnDelTag,backgroundIntensity,MeanRespOn,SEM,nodeid,leafid
9,"exc","2016/10/11","Cell4",-0.125,"keep",0.2,163.003360084833,8.30994316699743,9,9
10,"inh","2016/10/11","Cell4",-0.125,"keep",0.2,920.941187486454,110.316725925462,9,10
11,"exc","2016/10/11","Cell4",0.125,"keep",0.2,-259.343988453002,17.3558817513412,9,11
12,"inh","2016/10/11","Cell4",0.125,"keep",0.2,-42.7810684137772,48.5644065600064,9,12
13,"exc","2016/10/11","Cell4",0.25,"keep",0.2,-587.82374527601,14.643616222759,9,13
14,"inh","2016/10/11","Cell4",0.25,"keep",0.2,24.9972471158857,192.31901771569,9,14
15,"exc","2016/10/11","Cell4",0.5,"keep",0.2,-1168.29723404584,16.1060088084816,9,15
16,"inh","2016/10/11","Cell4",0.5,"keep",0.2,741.337255580121,153.764035172291,9,16
17,"exc","2016/10/11","Cell4",0.75,"keep",0.2,-1618.42675773566,33.3248381092065,9,17
18,"inh","2016/10/11","Cell4",0.75,"keep",0.2,1160.62300356397,301.290694699429,9,18
19,"exc","2016/10/11","Cell4",0.9,"keep",0.2,-1876.07917691578,37.7025268501708,9,19
20,"inh","2016/10/11","Cell4",0.9,"keep",0.2,1330.72601633734,297.98781393293,9,20
1,"exc","2016/10/11","Cell5",-0.9,"keep",0.2,397.783733450025,75.5622736767375,10,1
2,"inh","2016/10/11","Cell5",-0.9,"keep",0.2,3066.03133887405,122.586869150988,10,2
3,"exc","2016/10/11","Cell5",-0.75,"keep",0.2,389.068725229286,68.342514731191,10,3
4,"inh","2016/10/11","Cell5",-0.75,"keep",0.2,2744.0542748347,94.4317798147963,10,4
5,"exc","2016/10/11","Cell5",-0.5,"keep",0.2,307.577809284788,58.9914377327881,10,5
6,"inh","2016/10/11","Cell5",-0.5,"keep",0.2,2951.32170374254,596.269183559501,10,6
7,"exc","2016/10/11","Cell5",-0.25,"keep",0.2,169.884742109882,17.5779952702989,10,7
8,"inh","2016/10/11","Cell5",-0.25,"keep",0.2,1206.29515923636,164.359787563511,10,8
9,"exc","2016/10/11","Cell5",-0.125,"keep",0.2,76.5959946731029,8.51496370398822,10,9
10,"inh","2016/10/11","Cell5",-0.125,"keep",0.2,119.599426550918,48.5268186775194,10,10
11,"exc","2016/10/11","Cell5",0.125,"keep",0.2,-155.578666985588,11.472916215175,10,11
12,"inh","2016/10/11","Cell5",0.125,"keep",0.2,-20.5068372195262,8.5977241080301,10,12
13,"exc","2016/10/11","Cell5",0.25,"keep",0.2,-322.087029933776,31.8903163689892,10,13
14,"inh","2016/10/11","Cell5",0.25,"keep",0.2,-46.2930701429633,50.668553801785,10,14
15,"exc","2016/10/11","Cell5",0.5,"keep",0.2,-675.212940686424,38.0362167077805,10,15
16,"inh","2016/10/11","Cell5",0.5,"keep",0.2,61.1187217286937,69.4448067747669,10,16
17,"exc","2016/10/11","Cell5",0.75,"keep",0.2,-947.17842169821,42.5098458813499,10,17
18,"inh","2016/10/11","Cell5",0.75,"keep",0.2,225.533937304236,45.4980548773964,10,18
19,"exc","2016/10/11","Cell5",0.9,"keep",0.2,-1031.20038954318,37.4250104727633,10,19
20,"inh","2016/10/11","Cell5",0.9,"keep",0.2,298.154461952338,43.8856999604967,10,20
1,"exc","2016/10/18","Cell2",-0.9,"keep",0.2,50.0858068136767,1.43268527284691,11,1
2,"inh","2016/10/18","Cell2",-0.9,"keep",0.2,1718.2723799758,85.6278940414884,11,2
3,"exc","2016/10/18","Cell2",-0.75,"keep",0.2,53.9758695058131,7.81346150654385,11,3
4,"inh","2016/10/18","Cell2",-0.75,"keep",0.2,1651.26209906661,78.8172782188629,11,4
5,"exc","2016/10/18","Cell2",-0.5,"keep",0.2,34.9544261730351,2.00070977263179,11,5
6,"inh","2016/10/18","Cell2",-0.5,"keep",0.2,1398.62851307596,75.6058336773622,11,6
7,"exc","2016/10/18","Cell2",-0.25,"keep",0.2,29.0082235791287,2.02229094937796,11,7
8,"inh","2016/10/18","Cell2",-0.25,"keep",0.2,1029.0702091073,78.0683607175857,11,8
9,"exc","2016/10/18","Cell2",-0.125,"keep",0.2,28.5596159144126,3.97843892245927,11,9
10,"inh","2016/10/18","Cell2",-0.125,"keep",0.2,333.51262680836,37.3506538743583,11,10
11,"exc","2016/10/18","Cell2",0.125,"keep",0.2,-24.6582481821187,1.97680232845582,11,11
12,"inh","2016/10/18","Cell2",0.125,"keep",0.2,-54.8844541323088,19.6100235936715,11,12
13,"exc","2016/10/18","Cell2",0.25,"keep",0.2,-78.6857069881187,0.184810532798771,11,13
14,"inh","2016/10/18","Cell2",0.25,"keep",0.2,-78.0380969648318,14.4238313849464,11,14
15,"exc","2016/10/18","Cell2",0.5,"keep",0.2,-210.449790459996,10.784716024309,11,15
16,"inh","2016/10/18","Cell2",0.5,"keep",0.2,-104.997581687716,25.2938728079516,11,16
17,"exc","2016/10/18","Cell2",0.75,"keep",0.2,-372.700422187454,9.88681503055179,11,17
18,"inh","2016/10/18","Cell2",0.75,"keep",0.2,-55.2153760257319,21.6598150980662,11,18
19,"exc","2016/10/18","Cell2",0.9,"keep",0.2,-436.3726694771,0.751215227478411,11,19
20,"inh","2016/10/18","Cell2",0.9,"keep",0.2,-30.8947777479505,8.58238105121438,11,20
21,"exc","2016/10/18","Cell2",-0.9,"keep",0.5,77.286163749909,7.35741106024222,11,21
22,"inh","2016/10/18","Cell2",-0.9,"keep",0.5,2211.75672599782,50.8099578833315,11,22
23,"exc","2016/10/18","Cell2",-0.75,"keep",0.5,76.7923174316267,6.99998759616116,11,23
24,"inh","2016/10/18","Cell2",-0.75,"keep",0.5,2013.28038346936,36.5816399708891,11,24
25,"exc","2016/10/18","Cell2",-0.5,"keep",0.5,60.1666895309721,8.11073732430646,11,25
26,"inh","2016/10/18","Cell2",-0.5,"keep",0.5,1711.63910241652,38.3147282205185,11,26
27,"exc","2016/10/18","Cell2",-0.25,"keep",0.5,47.0790050229979,3.61452320872222,11,27
28,"inh","2016/10/18","Cell2",-0.25,"keep",0.5,1294.52179527759,111.339047540971,11,28
29,"exc","2016/10/18","Cell2",-0.125,"keep",0.5,42.5435117087879,2.54502111677272,11,29
30,"inh","2016/10/18","Cell2",-0.125,"keep",0.5,665.003988481696,19.7301546485318,11,30
31,"exc","2016/10/18","Cell2",0.125,"keep",0.5,-31.4833256860488,4.81943641474843,11,31
32,"inh","2016/10/18","Cell2",0.125,"keep",0.5,-2.03066996665288,2.18853755535974,11,32
33,"exc","2016/10/18","Cell2",0.25,"keep",0.5,-118.643453935226,4.91374708936831,11,33
34,"inh","2016/10/18","Cell2",0.25,"keep",0.5,-6.80270110373445,0.620483332302593,11,34
35,"exc","2016/10/18","Cell2",0.5,"keep",0.5,-266.638625344159,9.00738199193967,11,35
36,"inh","2016/10/18","Cell2",0.5,"keep",0.5,-1.51371385473321,4.05636711353189,11,36
37,"exc","2016/10/18","Cell2",0.75,"keep",0.5,-443.031216646429,0.915758259288936,11,37
38,"inh","2016/10/18","Cell2",0.75,"keep",0.5,47.6407629875687,6.12194612001168,11,38
39,"exc","2016/10/18","Cell2",0.9,"keep",0.5,-491.427132360072,6.06523765024318,11,39
40,"inh","2016/10/18","Cell2",0.9,"keep",0.5,54.3482263474582,3.24187037709856,11,40
1,"exc","2016/10/25","Cell1",-0.9,"keep",0.2,84.3452923975358,16.2539516404177,12,1
2,"inh","2016/10/25","Cell1",-0.9,"keep",0.2,806.472431721594,112.508407312045,12,2
3,"exc","2016/10/25","Cell1",-0.75,"keep",0.2,92.7853685984241,14.9680217375814,12,3
4,"inh","2016/10/25","Cell1",-0.75,"keep",0.2,726.094939256448,98.7290215911223,12,4
5,"exc","2016/10/25","Cell1",-0.5,"keep",0.2,92.8032809988214,12.042305612418,12,5
6,"inh","2016/10/25","Cell1",-0.5,"keep",0.2,588.454679653863,78.8728072453154,12,6
7,"exc","2016/10/25","Cell1",-0.25,"keep",0.2,78.4112640792091,12.9152740285006,12,7
8,"inh","2016/10/25","Cell1",-0.25,"keep",0.2,323.597508507101,51.0595278005725,12,8
9,"exc","2016/10/25","Cell1",-0.125,"keep",0.2,42.1099903554793,5.19106562745029,12,9
10,"inh","2016/10/25","Cell1",-0.125,"keep",0.2,63.9474643346354,17.786366251882,12,10
11,"exc","2016/10/25","Cell1",0.125,"keep",0.2,-58.9872480627599,12.0547500313437,12,11
12,"inh","2016/10/25","Cell1",0.125,"keep",0.2,-28.1940926441496,0.337563461338732,12,12
13,"exc","2016/10/25","Cell1",0.25,"keep",0.2,-113.455218286551,21.0788681859267,12,13
14,"inh","2016/10/25","Cell1",0.25,"keep",0.2,-64.0015853439511,10.989794039636,12,14
15,"exc","2016/10/25","Cell1",0.5,"keep",0.2,-240.489021599412,41.5114962361703,12,15
16,"inh","2016/10/25","Cell1",0.5,"keep",0.2,-103.461045271235,7.9343324264757,12,16
17,"exc","2016/10/25","Cell1",0.75,"keep",0.2,-351.031709180606,59.4807038168112,12,17
18,"inh","2016/10/25","Cell1",0.75,"keep",0.2,-143.782473159248,13.3851627772293,12,18
19,"exc","2016/10/25","Cell1",0.9,"keep",0.2,-422.801257008465,63.8649208470909,12,19
20,"inh","2016/10/25","Cell1",0.9,"keep",0.2,-160.750806237411,8.84413254420327,12,20
21,"exc","2016/10/25","Cell1",1.2,"keep",0.2,-523.567509677125,74.8329319674765,12,21
22,"inh","2016/10/25","Cell1",1.2,"keep",0.2,-182.647012528958,9.33754915674943,12,22
23,"exc","2016/10/25","Cell1",1.8,"keep",0.2,-683.611065280781,82.3634687221715,12,23
24,"inh","2016/10/25","Cell1",1.8,"keep",0.2,-211.121608165286,10.9930097311415,12,24
25,"exc","2016/10/25","Cell1",2.5,"keep",0.2,-470.588527678994,16.6238955530952,12,25
1,"exc","2016/10/25","Cell2",-0.9,"keep",0.2,-48.9513156629588,44.1814817674006,13,1
2,"inh","2016/10/25","Cell2",-0.9,"keep",0.2,1360.47915172707,119.062236623405,13,2
3,"exc","2016/10/25","Cell2",-0.75,"keep",0.2,-25.099678279212,34.9800370235407,13,3
4,"inh","2016/10/25","Cell2",-0.75,"keep",0.2,1192.4279777305,144.987535968717,13,4
5,"exc","2016/10/25","Cell2",-0.5,"keep",0.2,-12.6905267450452,34.002682935744,13,5
6,"inh","2016/10/25","Cell2",-0.5,"keep",0.2,932.411426237503,77.0125413261528,13,6
7,"exc","2016/10/25","Cell2",-0.25,"keep",0.2,17.3149719129624,17.5809656002892,13,7
8,"inh","2016/10/25","Cell2",-0.25,"keep",0.2,414.688280319043,20.4976654326532,13,8
9,"exc","2016/10/25","Cell2",-0.125,"keep",0.2,16.8152940217605,4.64598769528738,13,9
10,"inh","2016/10/25","Cell2",-0.125,"keep",0.2,124.815140897391,22.0196395838002,13,10
11,"exc","2016/10/25","Cell2",0.125,"keep",0.2,-17.3913873781197,3.63451625159002,13,11
12,"inh","2016/10/25","Cell2",0.125,"keep",0.2,-43.7197892308813,9.46129214614855,13,12
13,"exc","2016/10/25","Cell2",0.25,"keep",0.2,-56.0748203370816,7.89242538525753,13,13
